,game_id,season,season_type,week,game_date,home_team,away_team,final_home_score,final_away_score,score_diff,home_win,home_plays,home_pass_plays,home_rush_plays,home_yards_total,home_epa_total,home_epa_mean,home_success_rate,home_touchdowns,home_interceptions,home_fumbles_lost,home_explosive_plays,away_plays,away_pass_plays,away_rush_plays,away_yards_total,away_epa_total,away_epa_mean,away_success_rate,away_touchdowns,away_interceptions,away_fumbles_lost,away_explosive_plays,underdog_win,underdog_team,spread_home,spread_away
58,2005_06_ATL_NO,2005,REG,6,2005-10-16,NO,ATL,31,34,-3,0,87,43,30,456.0,-0.39723817675906087,-0.004565956054701849,0.625,6,1,1,2,81,30,29,266.0,5.396857117034327,0.0666278656423991,0.5432098765432098,2,1,0,2,0.0,NO,4.0,-4.0
59,2005_06_CIN_TEN,2005,REG,6,2005-10-16,TEN,CIN,23,31,-8,0,82,41,24,377.0,-2.5881604265156954,-0.03156293203067921,0.524390243902439,3,2,1,2,82,38,26,387.0,7.884597669618045,0.09615363011729323,0.5783132530120482,3,0,0,2,0.0,TEN,3.0,-3.0
60,2005_06_CLE_BAL,2005,REG,6,2005-10-16,BAL,CLE,16,3,13,1,84,33,36,351.0,-3.2595586189343733,-0.038804269273028255,0.35294117647058826,1,1,0,3,69,37,18,186.0,-14.740728961129228,-0.2136337530598439,0.463768115942029,0,1,2,1,0.0,CLE,-4.0,4.0
61,2005_06_HOU_SEA,2005,REG,6,2005-10-16,SEA,HOU,42,10,32,1,80,26,38,459.0,31.44253812769681,0.3930317265962101,0.6419753086419753,6,1,0,9,86,38,27,227.0,1.137855275425074,0.013230875295640394,0.36046511627906974,1,0,0,2,0.0,HOU,-8.5,8.5
62,2005_06_JAX_PIT,2005,REG,6,2005-10-16,PIT,JAX,17,23,-6,0,83,36,30,218.0,-22.5714673437612,-0.2719453896838699,0.2976190476190476,2,3,1,3,94,40,34,246.0,-12.977305124557189,-0.13805643749528923,0.3829787234042553,3,1,0,2,1.0,JAX,-5.0,5.0
63,2005_06_MIA_TB,2005,REG,6,2005-10-16,TB,MIA,27,13,14,1,88,32,35,342.0,-2.6198009261639243,-0.029770465070044595,0.34831460674157305,2,0,1,5,90,48,18,307.0,-13.734881467411347,-0.1526097940823483,0.4444444444444444,2,0,2,5,0.0,MIA,-4.5,4.5
64,2005_06_MIN_CHI,2005,REG,6,2005-10-16,CHI,MIN,28,3,25,1,78,35,27,192.0,-9.353731345413895,-0.11991963263351146,0.4050632911392405,4,1,2,1,99,59,19,283.0,-33.49018044746478,-0.33828465098449273,0.3434343434343434,0,2,0,2,0.0,MIN,-2.0,2.0
65,2005_06_NE_DEN,2005,REG,6,2005-10-16,DEN,NE,28,20,8,1,78,26,32,432.0,18.69994312143585,0.23974286053122887,0.4936708860759494,4,0,0,5,91,49,20,388.0,14.137745492116933,0.15535984057271354,0.45054945054945056,2,0,0,3,0.0,NE,-3.0,3.0
66,2005_06_NYG_DAL,2005,REG,6,2005-10-16,DAL,NYG,16,13,3,1,100,44,37,385.0,-12.198306703175945,-0.12198306703175944,0.43564356435643564,1,1,3,4,69,35,18,270.0,-13.22962342475498,-0.19173367282253595,0.463768115942029,1,1,3,3,0.0,NYG,-3.5,3.5
67,2005_06_NYJ_BUF,2005,REG,6,2005-10-16,BUF,NYJ,27,17,10,1,93,30,41,341.0,6.42215508300473,0.06905543100005086,0.5263157894736842,3,2,0,3,73,33,23,275.0,-2.411972334593623,-0.03304071691224141,0.4520547945205479,2,2,1,5,0.0,NYJ,-3.0,3.0
68,2005_06_WAS_KC,2005,REG,6,2005-10-16,KC,WAS,28,21,7,1,76,33,28,276.0,10.316759413545155,0.13574683438875204,0.45454545454545453,2,0,0,2,90,49,26,398.0,5.673793030139214,0.0630421447793246,0.5333333333333333,4,0,3,3,0.0,WAS,-6.5,6.5
69,2005_07_BAL_CHI,2005,REG,7,2005-10-23,CHI,BAL,10,6,4,1,83,37,29,276.0,-8.390886903150987,-0.10109502292952996,0.4166666666666667,1,0,0,3,82,39,22,199.0,-10.270260112360118,-0.12524707454097705,0.35365853658536583,0,0,0,2,0.0,BAL,-1.0,1.0
70,2005_07_DAL_SEA,2005,REG,7,2005-10-23,SEA,DAL,13,10,3,1,90,50,22,289.0,-8.885964745106442,-0.0987329416122938,0.3956043956043956,1,2,0,3,88,32,37,275.0,-9.753312650984416,-0.11083309830664109,0.42045454545454547,1,2,1,1,0.0,DAL,-3.0,3.0
71,2005_07_DEN_NYG,2005,REG,7,2005-10-23,NYG,DEN,24,23,1,1,85,48,21,311.0,12.126515146250725,0.14266488407353795,0.4883720930232558,3,1,1,4,81,31,33,385.0,15.316885188062132,0.18909734800076705,0.5061728395061729,2,0,1,5,0.0,DEN,-2.0,2.0
72,2005_07_DET_CLE,2005,REG,7,2005-10-23,CLE,DET,10,13,-3,0,65,27,22,174.0,-10.339311455718283,-0.15906633008797358,0.36923076923076925,1,3,0,1,92,37,36,329.0,-4.525715733055991,-0.049192562315825986,0.3870967741935484,1,0,1,2,1.0,DET,-3.0,3.0
73,2005_07_GB_MIN,2005,REG,7,2005-10-23,MIN,GB,23,20,3,1,77,40,24,363.0,9.513302972668013,0.12354938925542874,0.47435897435897434,2,0,1,3,84,42,24,374.0,7.994686226895677,0.09517483603447234,0.4880952380952381,2,0,0,5,0.0,GB,-2.0,2.0
74,2005_07_IND_HOU,2005,REG,7,2005-10-23,HOU,IND,20,38,-18,0,64,18,30,139.0,-2.683392929019277,-0.041928014515926204,0.4375,4,1,1,0,78,31,31,437.0,18.320220201716605,0.2348746179707257,0.6075949367088608,4,1,1,4,0.0,HOU,14.5,-14.5
